lugar,texto_resena,rating,latitud,longitud
Cerro Catedral,"Eclectic Cerro, likes children, teens, explorers, skiers and pedestrians. Phenomenal beauty, well-run and organized service. Price “ok” for the economic situation in which the country is. I highly recommend taking ski butt because there to rent is more expensive!",5,-41.183327,-71.44998
Cerro Catedral,"I loved seeing Cerro Catedral! Even outside the high season, the place is beautiful, cold, organized and full of good energy. The view of the mountains is wonderful and already worth the visit just for that. An experience that fascinated me!",5,-41.183327,-71.44998
Cerro Catedral,"I liked the experience at the cerro, a place with an excellent structure for both the practice of snow sports as well as food and travel around the site. Unfortunately we caught a season of little snow, but the experience was equally positive. I hope to be back in a better year.",5,-41.183327,-71.44998
Cerro Catedral,"A unique experience! I went in early September 2025, there was still snow up there, and it was magnificent! The landscape up there is to shine your eyes, it looks like you are inside a movie. It is also worth noting that it is super fun to go down from Culipatin up there and play as a snowball guerrilla kkkk would return without any doubt.",5,-41.183327,-71.44998
Cerro Catedral,"We did not go up to the top because on the day it was snowing a lot but the bottom part and very large and we had a lot to see. there are restaurants, shops to rent clothes and equipment and chocolates.",5,-41.183327,-71.44998
Cerro Catedral,"Being in Bariloche, we went to spend the day at Cerro Catedral.  I confess a much nicer place than I imagined.  Breathtaking landscapes. Majestic snow.  Super recommend.",5,-41.183327,-71.44998
Cerro Catedral,"The most amazing ski resort in South America. Although there is no ski in and out. The landscape is something inexplicable. Many trees, paths, stunning views",5,-41.183327,-71.44998
Cerro Catedral,"The Cerro Cathedral is a place of incredible beauty, really a must for those who visit Bariloche. However, during the high season, the queues to buy the cable car tickets can be quite long, which makes you waste a good time.

There is the online purchase option, and the value (both presencial and digital) is 36.000 Argentine pesos. However, it is worth noting that even buying in advance there is no guarantee of access, since everything depends on the climatic conditions. Therefore, my tip is: program to face the queue on site, but always checking first if the cable cars are working.

An important detail is that the park’s app itself tells you in real time which lifts are active, a feature that can save time and avoid frustrations.

For those who do not want to spend with a tourist agency, there are line buses that take to the Cerro and make the journey back. Just keep an eye on the schedule. The cost is less than 1000 Argentine pesos, which represents a great economy.",5,-41.183327,-71.44998
Cerro Catedral,"As I don't know how to ski and I wasn't willing to spend almost 2 thousand reals for a day of skiing, so I made the mountain climb just to use the little boat and have contact with the snow. On the first day I suffered in the queue and on the second day I bought online and it was very quiet and quick to get into the park... I recommend!",5,-41.183327,-71.44998
Cerro Catedral,"If you want snow in the sul.va hemisphere to Ushuaia (we went last September)
We stayed in Bariloche from 11 to 18 July
 Snow only on top of the hills and the artificial ones. If you go skiing know: despite the season is quite large, without snow there is only 1 piste and with artificial snow (picked ice) that is divided into 3 in the final 100 meters. Extremely full of all levels of skiers and schoolchildren (well dangerous). 
Lifts are very crowded and the pass costs 90 dollars (Nothing different from first-world stations). The tip is to pay in dollars because the quotation in the mountain and the best in the region. Be careful when buying. In our case the attendant spent one more day in the collection (for 4 people). I saw in time and complained. The same took the cards passed in the machine and said that she had put another lift day in each. Which was not the surprise qd on the last day of skiing we found out that had passed nothing. We show the attendant to the direction and she's in the face hard nego. We ordered the footage and they said they didn't have it at the time. Result we had to pay as if it was loss of the card (Pq fortunately I kept the bill and was with the cards to prove) and we missed the morning skiing. Very bad charism, out the crowded mountain and the abusive price for only 1 open piste.
 He never came back. Pay some morals on the ticket and go to Europe or the United States pq (Out Pass) the rest of the trip comes out the same price.",2,-41.183327,-71.44998
Cerro Catedral,"Although time did not help, the experience was fantastic. Many options for food and equipment rental and classes. The infrastructure is excellent and the service we had in the BB lounge was great. I'd definitely come back.",5,-41.183327,-71.44998
Cerro Catedral,"This year there was not much snow, but just the day we went it snowed a lot and we could enjoy it.
It was the first time we went, we took sky class, with ""crab"" and we all skied out.
We had a very nice day!!!",4,-41.183327,-71.44998
Cerro Catedral,"The season usually has periods with little snow.
Although they make snow, they sell far more tickets than they should.
All skiers end up having only 2 climbing options and consequently queues that take 20/30 minutes.
But do not say this information in the App. They say that the queue is six minutes when it takes an eternity.",2,-41.183327,-71.44998
Cerro Catedral,"We were delighted, we went in two pairs of friends and got everything right too.
We picked up an agency that helped us.
We went to know the snow and enjoy there and it was all too nice.
We will definitely return 
Nothing to complain about",5,-41.183327,-71.44998
Cerro Catedral,"Season with low snow. We were the same, we found it cute and with many food options. I decided to give it 3 stars because it is difficult to locate a little when going the first time, the tourist hut is a little hidden from the naked eye and the tickets are blown up, the worst thing is that if they warned people that they can buy at the same time online, it would take half the time.",3,-41.183327,-71.44998
Cerro Catedral,"We went 2 times , the first for my daughter and my nephew to ski , the second to finally see the snow fall .
The place is pretty, with a lot of structure, my favorite place in Bariloche.
Wonderful pictures.",4,-41.183327,-71.44998
Cerro Catedral,"We stayed today (Sunday) and enjoy a lot, even without skiing! We arrived early at the opening and it was already snowing, what an excitement! We climbed the first cable car and there was already a lot of snow there. As we climbed the second, we saw even more snow and the cold increased. We made a snowman, played and had a hot chocolate. I highly recommend!",4,-41.183327,-71.44998
Cerro Catedral,"Dearly. Patienceless attendants. All full. They closed the cabin and we lost the ticket. Nobody could explain anything. I hired a ski class, bad experience, patient teacher.. very full. I'm not coming back. Expensive parking",3,-41.183327,-71.44998
Cerro Catedral,"We visited the cerro cathedral in the last week of April. It was nice because the kids could have contact with the snow. There is no snow activity at this time, but there is contact. We could enjoy the landscape, the walk to the top of the mountain and play a little in the snow. Hang out well, up there on the hill is much cooler.",5,-41.183327,-71.44998
Cerro Catedral,"This was the third time we went to Bariloche (August2024), the slopes of Cerro Catedral are optimal, especially because you already have a sense of skiing. Only that the price for the pass to take you in the Lift (in the chairs that climb the mountain) doubled in price in 1 years, in 2023 we paid around 50 dollars a day, last year rose to 100 dollars a day, many friends.  With these increases the trend is to have fewer and fewer Brazilian tourists in the mountain skiing!!! The price of the food on the top is also quite high!!!!",4,-41.183327,-71.44998
Cerro Tronador,Nice walk. Availability for the whole day. I found the 40km of land road tired. But worth the very beautiful place. Nature is amazing.,5,-41.165318,-71.88186
Cerro Tronador,Spectacular looks like a movie,5,-41.165318,-71.88186
Cerro Tronador,"Very good all the way to the hill. Passing the Black Blizzard and Pampa Linda, add to the ride. I've done it twice and I'll do it again.",5,-41.165318,-71.88186
Cerro Tronador,"We went out 9.20 hours of bariloche. We arrived at the park, it cost us $7,000 c/u. We made the black blizzard that is beautiful, then we made devil's throat, where the road was cut and we decided to take some mates in the middle of the road between the meltwater and the stones. Then we went to jump off the buttocks, it is about 15 min from its parking lot, but it is a beautiful stone wall where a waterfall falls from the top, if you get on a giant stone that is in front, you can make beautiful photos. We didn’t get to larch waterfalls because of the schedule, as we returned 16 hs, just as it was starting to rain. We do not stop to eat but there is restaurant and at the base of thunder there are grills with very clean bathrooms. Importantly, they have to be patient to travel the way from the access to the base of the thunderclap(1.30 hs approx)",5,-41.165318,-71.88186
Cerro Tronador,"No words to describe the place. Unique landscape. The lake is frozen and the view is amazing. It's worth seeing. The black snow of Cerro Tronador refers to the Ventisquero Negro, a dark-coloured glacier that forms in the mountain due to the mixture of ice with sediments and volcanic ash.  It's worth seeing.",5,-41.165318,-71.88186
Cerro Tronador,"Cerro Tronador is located in between two national parks - Nahuel Huapi National Park in the Argentine provinces of Río Negro and Neuquén and Vicente Pérez Rosales Park in the province of Llanquihue, Chile.  I went on a guided tour from the Argentine side to the base of Cerro Tronador.  The highest peak in the surroundings of Bariloche and the only one which snow and ice cover the ground throughout the year.  Stunning beyond words.  I took so many photographs.  The scenery was spectacular.  Beautiful drive to get there.  Easy relaxing walk at the base, anyone can do it.  We had the perfect winter day.  Crispy but warm with sunny blue skies.  As others have mentioned, you must pay in ARS cash to enter.  If you are not a resident of Argentina, the entrance to Nahuel Huapi National Park will cost ARS 20,000 (August 2025).  Have ID to hand as well.  Highly recommend.",5,-41.165318,-71.88186
Cerro Tronador,"Be aware, the entrance to the park can only be paid in Argentine pesos. We were not warned before, we had dollars and credit cards and nothing resolved.  And they did not facilitate... more than 40 minutes to resolve... they refused the $100.00 note and a family of Brazilians who were n tour with us was q saved us borrowing weights... 

Passed the tightness, and the rage q we live, the walk was beautiful, every beautiful landscape of falling the chin... if you nausea on the road with light curves vonal...",5,-41.165318,-71.88186
Cerro Tronador,"The place is beautiful, the glacier and the lake make a set in the unique landscape. I had never seen anything like that, the streets and the national park are well preserved and there are some restaurants on the way to the glacier. Worth a visit!",5,-41.165318,-71.88186
Cerro Tronador,"Cerro Tronador... the roar of beauty. 
A path where every step is a postcard full of history in the majesty of the landscape",5,-41.165318,-71.88186
Cerro Tronador,"His imposing presence leaves you speechless. It's a reminder of the strength of nature. Hearing the roar of the glacier is a unique experience that is not forgotten. Pure Patagonian majesty, connecting you to the wild.",5,-41.165318,-71.88186
Cerro Tronador,"Beautiful place is worth it, you just need to take Argentine weight to pay the entrance to the park, and forget the internet does not work there rsrs",5,-41.165318,-71.88186
Cerro Tronador,"An amazing view is worth going, it's a wonderful view, you need to climb warm with Water linen, and a good camera",5,-41.165318,-71.88186
Cerro Tronador,"We couldn’t go until cerro tronador, because it was closed, however we went to ventisqueiro negro and was amazing, it was our first time contact with snow.",5,-41.165318,-71.88186
Cerro Tronador,"If you are an adult and do not have children - take the walk.
But if you have children, think back. It's very far away and it's nothing attractive to them. I, in particular, found mass... but it was quite disappointing for the little ones, mainly because the access to the base of Cerro Tronador was closed because it was raining a lot (we gave luck). The nicest is the Black Ventisquero.",4,-41.165318,-71.88186
Cerro Tronador,"Landscapes have an amazing view It's an unimaginable place 
You can hear the noise that makes the hill thunder 
The color of the water the precious",5,-41.165318,-71.88186
Cerro Tronador,"It was a simply fantastic experience! Me and my husband visited in April/2025, and we paid 20,000 pesos each. 
We made the visit on our own, with a rental car, and it was super quiet. It was quite easy to locate the place.
We took about 1 hour to get from our accommodation in Bariloche to the ticket shop to buy the tickets. Then we take about 1:30h until we arrive at Cerro. 
From the ticket office, access is via ground road. The road is good, there were no loose stones and no gravel. 
The view is simply hallucinating. Worth every second and every penny. I highly recommend the visit.",5,-41.165318,-71.88186
Cerro Tronador,"The place is spectacular. Also the hotel where you can eat.
But you can't leave until 4 p.m., where supposedly the traffic is only one way, which doesn't happen, because people kept coming up when we were getting off.  Advice for those who don't want to be stuck in a place that you can travel in three hours at most: don't go early.",4,-41.165318,-71.88186
Cerro Tronador,"Exceptually beautiful, the Cerro Tronador. It's worth it. It is best to take a local tour by bus, with a guide, which values the experience.",5,-41.165318,-71.88186
Cerro Tronador,"We drove here from Bariloche. Second attempt as first day we drove to entrance only to be told was closed to all vehicles other than 4 x 4 that day so best to check their FB page before setting off as this appears to be the only place they advise of issues.

Took us just over a couple of hours from Bariloche. Unpaved, rocky and dusty road from the point you have to pay to enter. Park ticket was pricey 20,000 peso pp when you consider the lack of facilities, poor road and that they had closed the access to cascada alerces, the other main attraction in the park. However, the glacier area and the garganta diablo waterfall were beautiful and worth the trip. 

There is a hosteria at Pampa Linda to get refreshments and cafe by garganta diablo. Quite expensive and not great quality so may be best to take a picnic.

There are several hiking trails from Pampa Linda. Unfortunately the shorter 5km round trip to the mirador we found closed part way through. No sign before setting off! Wasn't impressed with the management of the park.",5,-41.165318,-71.88186
Cerro Tronador,"Beautiful scenery, a very long way to what is the place, we spent a beautiful afternoon but would not come back, there are many more amazing places to make all that trip of pious to the thunder",3,-41.165318,-71.88186
Exploradores Lago Del Desierto,We took the “Dos Glacieres” tour from El Chalten. It gets you out of the “normal” national park area to the north to explore a different area. The 2 glaciers are Vespignani and Huemul. You get almost 3 hours to explore the area around Veapignani and 2 hours to hike up to Huemul … so lots of walking opportunities. Huemul is particularly beautiful. At a very reasonable price this is a tour worth doing. Back in El Chalten at 5pm so a full day.,5,-49.330086,-72.88633
Exploradores Lago Del Desierto,"My elderly in-laws went on the “One Shot VESPIGNANI” package with transfer from El Chalten included. My father-in-law wanted to see a lake in the area but was able to do the long hikes around El Chalten, so we thought this lake tour would be great for him. 

The tour comprised a bus ride from El Chalten to the ferry, a ferry ride, and then some time to putz around at the glacier area (apparently they did a 600+ ft elevation gain hike in 1.5 hours, which we were stunned as they are not youn…). They bought last minute tickets - we had WhatsApp-ed the company in the morning to check if there were seats available for the same day tour (the website won’t allow you to buy tickets too close to the tour but it doesn’t mean the tour is sold out), then walked over to their office to pay. 

The bus came to pick them up from our accomodation. They left town at 11am and were back in town around 5.15pm. We were worried they would get motion sickness on the bus, get cold, fall off the ferry and die of hypothermia, break an ankle, get hungry, etc. but they came back raving about what a wonderful and magnificent time they had and their only complaint was they felt it was a bit rushed. 

We looked at their photos and videos and it looked like they got a really great experience typical of hiking in Patagonia for less physical effort than if they attempted the trails from El Chalten.",5,-49.330086,-72.88633
Exploradores Lago Del Desierto,"The excursion itself is beautiful and priced accordingly. The places are wonderful but many points to improve. To begin with, the guide that guides absolutely nothing and spent the entire round trip chatting with a friend. Everyone in the transfer aware of his love life. The van on the way there was very nice and the driver on the way there was very professional, but on the way back the van fell apart. Upon returning, the guide did not count the passengers before leaving and halfway there they called them by radio to return to look for the forgotten pax. The driver made a sudden turn and collided with a tree. Horror!! Furthermore, he drove fast and although the road is very bad, he was very rough. Nothing to do with the driver on the way. The dome lacks a lot of love. It was dirty, neglected. On the other hand, the boat was very clean and the sailors were very helpful. I would go again but there are definitely things that could be improved to increase the quality of the excursion.",3,-49.330086,-72.88633
Exploradores Lago Del Desierto,Beautiful places for trekking. The town is super calm and has everything you need to stay there as long as you want. We recommend rafting with Comarka Expeditions!,5,-49.330086,-72.88633
Exploradores Lago Del Desierto,"This excursion is worth it. Starting because it is economical in relation to the excursions to these destinations. Then because the landscapes are incredible, exuberant, almost virgin. The glacier hanging there. Majestic. The forest taken from a story. Dreamy and reserved for the few who went on the boat. And finally all the amazing staff. From the Mr. who sells the excursion who is super friendly. The van driver. That stops in places along the way that you will only meet with locals. Then the sailors who are super friendly. And finally Martina and her chocolate when she returned from trekking. Super friendly and super professional to make your experience incredible. Worth!!!",5,-49.330086,-72.88633
Exploradores Lago Del Desierto,"Everyone was very friendly, the guide, the driver, in the agency, and the landscapes were great, I highly recommend this excursion",5,-49.330086,-72.88633
Exploradores Lago Del Desierto,Attentive and friendly staff. Committed to their task so that tourists have a great time. Incredible views of the glacier and Desert Lake. Highly recommended,5,-49.330086,-72.88633
Exploradores Lago Del Desierto,"in the agency poorly prepared for customer service,
 the wonderful place
The excursion to go see the Vespignani glacier in theory was 45 minutes sailing, and it turned out to be 25-30 minutes at most, that cost 11,200 pesos
They charged us 18,000 pesos per person to go see the glacier (public place). The guide was not clear in explaining the trails. He only showed us the map of the trail. He waited for us on the way back with tea or chocolate.
In short, they charged us 18,000 per person to go to a public place and a tea",3,-49.330086,-72.88633
Exploradores Lago Del Desierto,"We took this excursion for a day in El Chaltén and overall had a great time.  The lake is beautiful and the trails available are fantastic. The trip starts with a bus ride to the lake which is about an hour along the river. Then a 30 minute boat ride on the lake to the trekking site.  There are lovely trails here ranging  from very easy to moderate.  The moderate trail leads to a beautiful view of glaciers across a small valley. A little gem of a trail.  A few hours later the boat returns to the southern end of the lake and an opportunity to take a short but somewhat demanding hike to a turquoise glacier lake and Huemul glacier.  Overall a great day of moderate hiking with delightful endpoints.

However, the tour company needs to up its game in terms of customer service.  On the good side, the trip was punctual and comfortable.  However there was minimal engagement with the visitors.  The gentleman who appeared to be the leader was also the bus driver but he had little to say.  The group leader told the group that she didn't know much about the area and her job was to just organize the group and she wouldn't be saying anything along the bus ride.  And she was true to her word - she chatted with a friend about boyfriends.  I am not a traveler who thinks everyone in other countries should speak English, and my Spanish is fine, but I thought it was unusual in tourism that there was no English explaining the day since there were many foreign tourists for whom English is the lingua franca.  At the boat dock, there wasn't much explanation on any language and all the participants were wondering what they were supposed to do next.   At the trekking site, there were explanations in both Spanish and English and this was the first time that the day's schedule was finally explained.  When the boat returned to the bottom of the lake and the was an opportunity to hike to Huemul, there was little information on the exact time we had to be back to the bus and the operators were annoyed when a handful returned before the time we thought we were expected back but after the time the operators expected us back.

Overall, really a great day and easily worth the cost.  I wouldn't hesitate to recommend doing this trip, but don't expect the level of tour handling that is so much more typical in Argentina tourism.  ",5,-49.330086,-72.88633
