lugar,Trekking,Naturaleza,Multitudes,Ciudad,rating,latitud,longitud,Score_Ideal
Glacier Martial,0.4805832036903926,0.1721060116376195,0.2070053879703794,0.1403054121349539,4.428571428571429,-54.792805,-68.3868,0.3053784152226788
Sendero al Mirador Bandurrias,0.4018872862681746,0.2022472707554698,0.2568674656562507,0.1389979750849306,4.25,-40.16528,-71.37582,0.208269116282463
Cerro Tronador,0.3131949866563082,0.2575562783330679,0.2919580471515655,0.1372906799986958,4.68,-41.165318,-71.88186,0.1415025378391146
Exploradores Lago Del Desierto,0.3018902440865834,0.2273962303996086,0.3431920708881484,0.1275214509210653,3.7333333333333334,-49.330086,-72.88633,0.0585729526769783
Beagle Channel Navigation with Minitrekking,0.32413020581007,0.204262438043952,0.3309421801939606,0.1406651794910431,4.9,0.0,0.0,0.0567852841690182
Isla Victoria,0.229863349860534,0.2984407833963632,0.3396571316570043,0.1320387422014027,4.34,-41.09486,-71.45322,0.0566082593984902
Parque Municipal Llao Llao,0.2914349508285522,0.2329684760421514,0.3236661729961633,0.1519304051995277,4.56,-41.05206,-71.540215,0.0488068486750126
Cascadas Nivinco,0.2724109837412834,0.2488038106262683,0.3278621558845043,0.1509230584651232,4.7,-40.487812,-71.663414,0.0424295800179242
Mirador de las Aguilas,0.3407600297193442,0.1730707551219633,0.2712585051943149,0.2149107126585607,4.5,0.0,0.0,0.027661566988432
Lago Espejo Grande,0.1380705072591081,0.3442316842079163,0.3930804229341447,0.1246173943346366,4.7,-40.685677,-71.695526,-0.0353956258017569
Circuito Chico,0.2754288671165705,0.194041636288166,0.3418027697503566,0.1887267137691378,4.22,-41.07356,-71.53466,-0.0610589801147579
Bosque de Arrayanes,0.1877991124987602,0.2799523836374283,0.390873144865036,0.1413753668218851,3.7,0.0,0.0,-0.0644970155507326
Cerro Campanario,0.2409989563375711,0.2256014829874038,0.3306692627072334,0.2027302928268909,4.36,-41.172195,-71.344826,-0.0667991162091493
Paseo Costanera Junin de los Andes,0.1579652651399374,0.2983631743490696,0.3837324632704258,0.1599390984326601,4.28,-39.937,-71.06571,-0.0873431222140789
Lago Correntoso,0.1479225921677425,0.305395476296544,0.4111964493058622,0.1354854719294235,4.74,-40.739456,-71.6691,-0.093363852770999
Peninsula de Yuco,0.1873757834080606,0.2607529675588012,0.3890441954135895,0.1628270585089922,4.675,-40.165928,-71.52464,-0.1037425029557198
Cerro Catedral,0.1910359834320843,0.2236743981018662,0.3488222010433673,0.236467408016324,4.3,-41.183327,-71.44998,-0.1705792275257408
Cerro Chapelco,0.1723546267300844,0.2077080746740102,0.4294010931253433,0.1905362042412161,3.34,-40.225285,-71.261665,-0.2398745959624647
Cerro Castor,0.1291975229978561,0.2383416205644607,0.4233664240688085,0.2090944286435842,4.75,-54.724167,-68.017006,-0.2649217091500758
Colonia Suiza,0.1456560690701007,0.2214201667159795,0.3709403085708618,0.2619834549725056,2.72,-41.0953,-71.51035,-0.2658475277572869
